Serotype,Penicillin,Cefotaxime,Ceftriaxone,Levofloxacin,Moxifloxacin,Erythromycin,Clindamycin,Vancomycin,Tetracycline,Chloramphenicol,COT
09A,0,0,0,0,0,100,50,0,100,0,100
09L,0,0,0,0,0,50,0,0,0,0,0
09N,50,0,50,50,0,100,50,0,100,0,0
09V,10.526316,10.526316,10.526316,10.526316,0,100,26.315789,0,100,0,100
1,0,0,20,0,0,40,0,0,20,0,20
10A,0,0,0,0,0,100,0,0,100,0,50
10B,0,0,0,0,0,100,100,0,0,0,0
11A,0,0,0,0,0,40,40,0,60,0,100
12F,0,0,0,0,0,0,0,0,100,50,100
13,33.333333,33.333333,33.333333,33.333333,0,66.666667,50,0,66.666667,33.333333,83.333333
14,20,20,20,20,0,100,100,0,100,0,80
15A,0,0,0,20,0,60,0,0,60,0,80
15B,13.333333,13.333333,13.333333,33.333333,6.666667,86.666667,60,0,86.666667,6.666667,93.333333
15C,33.333333,33.333333,33.333333,33.333333,0,100,100,0,100,0,100
16F,0,0,0,0,0,0,0,0,100,0,100
17F,0,0,0,0,0,100,75,0,75,0,0
18C,0,0,0,0,0,80,20,0,80,0,80
19A,4.545455,13.636364,18.181818,4.545455,0,95.454545,77.272727,0,77.272727,4.545455,81.818182
19F,23.255814,20.930233,27.906977,9.302326,2.325581,95.348837,62.790698,0,90.697674,2.325581,74.418605
22F,0,0,0,0,0,100,0,0,0,0,0
23A,0,0,0,0,0,100,100,0,100,0,0
23B,0,0,0,0,0,100,100,0,0,0,100
23F,14.285714,14.285714,28.571429,14.285714,7.142857,71.428571,42.857143,0,64.285714,14.285714,71.428571
3,14.285714,14.285714,14.285714,7.142857,0,42.857143,28.571429,0,28.571429,0,28.571429
31,25,25,25,25,25,50,50,0,25,25,25
33B,0,0,0,0,0,100,100,0,100,0,100
33F,0,0,0,0,0,100,100,0,100,0,0
34,0,0,0,0,0,25,25,0,25,0,100
35A,100,100,100,100,0,100,100,0,100,100,100
35B,18.181818,9.090909,9.090909,27.272727,9.090909,81.818182,45.454545,0,54.545455,0,81.818182
4,0,0,0,0,0,66.666667,33.333333,0,66.666667,0,66.666667
46,0,0,0,0,0,0,0,0,0,0,0
6A,6.666667,0,0,0,0,86.666667,20,0,60,13.333333,53.333333
6B,23.076923,15.384615,15.384615,15.384615,0,92.307692,84.615385,0,69.230769,23.076923,84.615385
6C,0,0,33.333333,33.333333,0,100,66.666667,0,0,0,33.333333
8,0,33.333333,33.333333,0,0,33.333333,0,0,33.333333,0,33.333333
sg24,0,14.285714,0,0,0,85.714286,85.714286,0,100,0,0
untypable,100,100,100,100,0,100,100,0,100,0,100
